バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
CANNON BALLERS,Persephone,HARDSTYLE,Massive New Krew,18,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2791,1280,231,3,EX HARD CLEAR,AAA,2018-08-10 20:24
CANNON BALLERS,Rampage,HARDCORE,USAO,20,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3370,1570,230,6,EX HARD CLEAR,AAA,2018-08-14 20:27
CANNON BALLERS,Rise Circuit,DRUM'N'BASS,COSIO,21,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2174,1008,158,0,FULLCOMBO CLEAR,AAA,2018-08-17 21:04
CANNON BALLERS,SPEED,ROCK FUSION,BEMANI Sound Team(Mutsuhiko Izumi),3,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2316,1012,292,6,EX HARD CLEAR,AA,2018-01-14 15:55
CANNON BALLERS,SPEED DEMON,HARDTEK,GUHROOVY feat. NO+CHIN,36,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2147,966,215,3,EX HARD CLEAR,AAA,2018-08-23 21:31
CANNON BALLERS,STARLIGHT JUNCTION,HEAV'NLY TRANCE,SOUND HOLIC feat. Nana Takahashi,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2151,1005,141,1,FULLCOMBO CLEAR,AAA,2018-07-31 20:17
CANNON BALLERS,Static State,ELECTRO TRANCE,Nhato,1,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,2052,880,292,2,FULLCOMBO CLEAR,AA,2018-01-02 21:40
CANNON BALLERS,The Chase,TECH BREAKS,DJ Mass MAD Izm*,81,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1786,719,348,35,HARD CLEAR,AA,2018-08-24 23:15
CANNON BALLERS,UMMU,OSHARave,t+pazolite,51,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2845,1284,277,8,EX HARD CLEAR,AAA,2018-08-20 20:07
CANNON BALLERS,VOX RUSH,ROTTERDAM RAVE,青龍 × sampling masters MEGA & sampling masters AYA,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2970,1285,400,6,EX HARD CLEAR,AA,2018-06-05 21:01
CANNON BALLERS,Xperanza,HYBRID HARDCORE,aran,33,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,2923,1343,237,14,EX HARD CLEAR,AAA,2018-08-24 22:31
CANNON BALLERS,エディブルフラワーの独白,HARD FRENCH,OSTER project feat. 常盤ゆう,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2043,957,129,0,FULLCOMBO CLEAR,AAA,2018-01-02 22:26
CANNON BALLERS,シムルグの目醒め,NATURE,BEMANI Sound Team "DJ TOTTO" feat.rionos,56,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3213,1452,309,11,EX HARD CLEAR,AA,2018-08-24 23:17
CANNON BALLERS,ハイ*ビスカス ft. Kanae Asaba,YANKEE CAR J TRANCE,Xceon,1,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2203,995,213,3,EX HARD CLEAR,AAA,2018-01-02 22:35
CANNON BALLERS,バ→ビ→ブ→Bomb!,電波ソング,ヒゲドライバー join. 新菜まこ & 松平なな,13,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2359,1084,191,1,FULLCOMBO CLEAR,AAA,2018-08-24 22:26
CANNON BALLERS,パラドキシカル・タイムリープトライアル(Short Ver.),AKIBA-POP,MOSAIC.WAV,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2512,1136,240,4,EX HARD CLEAR,AA,2018-03-07 21:00
CANNON BALLERS,ラストセンチュリーメランコリック,FUTURE J-POP,DJ Taku aka ☆Taku Takahashi (m-flo),10,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2029,927,175,2,EX HARD CLEAR,AAA,2018-08-09 20:42
CANNON BALLERS,共犯へヴンズコード,ELEGANT SWING,D-Evoke（与那嶺雅人/小日向翔）,1,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2037,911,215,8,EX HARD CLEAR,AA,2018-01-12 22:34
CANNON BALLERS,命の標本,STRANGE WORLD MUSIC,志方あきこ,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2414,1080,254,3,EX HARD CLEAR,AA,2018-03-07 21:09
CANNON BALLERS,東京神話,ORBITALIC GABBER STEP,DJ TECHNORCH feat.宇宙★海月 vs BEMANI Sound Team "U1-ASAMi",28,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,2549,1122,305,12,EX HARD CLEAR,AA,2018-08-13 20:27
CANNON BALLERS,神謳 -RESONANCE-,Hi-MYTH,SOUND HOLIC feat. Nana Takahashi Vs.GOD PHOENIX Prim,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3735,1726,283,12,EX HARD CLEAR,AAA,2018-03-12 21:33
CANNON BALLERS,純真可憐デザイア,EMOTIONAL ROCK,BEMANI Sound Team(HuΣeR) feat.Fernweh,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2139,981,177,1,EX HARD CLEAR,AAA,2018-01-02 22:02
CANNON BALLERS,草原の王女-軌跡を辿って-,JOURNEY SCENE,劇団レコード,1,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2097,951,195,2,EX HARD CLEAR,AAA,2018-01-02 22:15
