バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER EXスコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA EXスコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
Rootage,Trill auf G,MUSIC GAMES HARDCORE,BEMANI Sound Team "dj TAKA",0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Twilight Warp,CYBER DANCE MUSIC,Maozon feat. Kyte,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,U.S.A.,IIDX EDITION,Remixed by BEMANI Sound Team "PHQUASE feat.TRANDER Jr.",0,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Unbelief,METAL,BEMANI Sound Team "Anonymous",0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,UNDERWORLD HOLOGRAPHY,DRUM & BASS,BEMANI Sound Team "L.E.D." feat. KOTOKO,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Urban Constellations,JAZZY FOOTWORK JUNGLE,Dirty Androids,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Visterhv,REBIRTH OUT,Feryquitous,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3563,1707,149,10,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-17 18:45
Rootage,voltississimo,VVV,BEMANI Sound Team "PHQUASE",0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Wing of Hearts,HYPER HANDS UP,USAO & DJ Nanashi,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Wolf 1061,PIANO TRANCE,Xceon,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Won(*3*)Chu KissMe!,IIDX EDITION,Remixed by BEMANI Sound Team "L.E.D." & IOSYS,0,1,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Wonderland,CANDY RAVE GABBER,kors k,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,X-DEN,ULTIΣATE COLLABORATION,T.Σ.Generation,0,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,XENON II ～TOMOYUKIの野望～,ELECTRO SHOCK,Mr.T,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,EX HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Xlo,NEUTRONIKA,sasakure.UK,0,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,Yum Yum Jelly,FUTURE BASS,YUC'e,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,ZENDEGI DANCE,ORBITALIC ORIENTAL ELECTRO,ARM × BEMANI Sound Team "U1 overground",0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,おーまい！らぶりー！すうぃーてぃ！だーりん！,LOVELY YOUTH,BEMANI Sound Team "PON" feat.NU-KO,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,お菓子の王国,SPEED CANDY,Snail's House,1,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,3863,1813,237,14,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-20 11:17
Rootage,グラナダの風,SPANISH GUITAR,BEMANI Sound Team "劇団レコード",0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,サクラあっぱれーしょん,IIDX EDITION,Remixed by BEMANI Sound Team "TAG" feat. 柊木りお,0,1,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,セカンドピアス,GIRLS ROCK,OSTER project feat. echo,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,ハードベース・フェスタ,A-STYLE RUSSIAN HARDBASS,かめりあ feat. ななひら,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,ミストレス・アンに花束を,ELECTRONICA,soejima takuma feat.BEMANI Sound Team "猫叉Master",0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,ミッドナイト☆WAR,BEMANIZED ROCKCORE,いちか,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2428,1173,82,5,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:56
Rootage,夏の匂い。キミの残像。 ft. Kanae Asaba,Re 90's J-DANCE POP,Xceon,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,抱きしめてモナムール,Hi-歌謡コア,冬色AMOUR☆Prim,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,0,0,0,---,EX HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,最小三倍完全数,ピタゴラス的不完全性破壊衝動音律(ハンマーによる),DJ TECHNORCH,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,泰東ノ翠霞,JAPANESE POPS,bermei.inazawa/feat.霜月はるか,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,爆ゼニ☆がってんワーカー,勤労☆電波,ARM×狐夢想 feat. ななひら,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,金野火織の金色提言,音ゲー賛美歌,DJ TECHNORCH feat. 宇宙★海月,0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,FULLCOMBO CLEAR,---,12,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
Rootage,龍王の霊廟(Mausoleum Of The Primal Dragon),RETROSPECTIVE EPIC MUSIC,BEMANI Sound Team "黒猫ダンジョン",0,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2019-10-16 12:52
HEROIC VERSE,beatAffection,BEAT MUSIC,ビートまりお,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2568,1235,98,5,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:48
HEROIC VERSE,Do What You Want,FUTURE BASS,BEMANI Sound Team "SYUNN",2,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1967,953,61,9,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:59
HEROIC VERSE,Drop It,DUBSTEP/MMETAL/DJENT,Dazsta,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2638,1235,168,11,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 11:25
HEROIC VERSE,fairy cocktail,エレクトロニック/エレクトロニカ/ポップ,Tomggg,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,1567,748,71,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 17:34
HEROIC VERSE,Hyper Drive feat. ぷにぷに電機,DANCE POP,パソコン音楽クラブ,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1936,941,54,3,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 17:37
HEROIC VERSE,Mel,DRUM'N'BASS,Applekid,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,2128,1040,48,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 16:34
HEROIC VERSE,Moving on,PSYCHEDELIC TRANCE,AJURIKA feat.矢吹真央,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2904,1405,94,5,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 17:01
HEROIC VERSE,Nasty Techniques,Hi-TECH FULL ON,kors k,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2555,1232,91,14,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-17 17:21
HEROIC VERSE,NEWALONE,INDUSTRIAL BASS,Masayoshi Iimori,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1953,945,63,3,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 16:37
HEROIC VERSE,Ohayo!,FESTIVAL TRAP,KSUKE,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2345,1124,97,6,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 11:31
HEROIC VERSE,POP TEAM EPIC(kors k Remix),IIDX EDITION,上坂すみれ,1,1,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,2070,998,74,2,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 16:46
HEROIC VERSE,Rainstorm,UPLIFTING TRANCE,Maozon feat. Chica,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2215,1069,77,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-18 16:58
HEROIC VERSE,Rave lithosphere,RAVE,Sampling Masters MEGA,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2572,1237,98,7,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:51
HEROIC VERSE,Silly Love,ELECTRO NU DISCO,DE DE MOUSE,2,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1982,942,98,4,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 11:22
HEROIC VERSE,Ska-sh All Neurons!!,A-STYLE NEURO+"スカ"+FUNK DRUMSTEP,かめりあ feat. ななひら,13,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,1333,650,33,2,ASSIST CLEAR,AAA,10,2277,1104,69,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:40
HEROIC VERSE,VALKYRIAS -英雄誕生-,HEROIC VALHALLA ROCK,BEMANI Sound Team "HuΣeR" feat.Fernweh,1,2,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2679,1297,85,3,ASSIST CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-20 10:38
HEROIC VERSE,Virus Funk,PROGRESSIVE DISCO,Nhato,10,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,2131,1023,85,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:34
HEROIC VERSE,Volcanic Dragon,HARDCORE RAVE,DJ Shimamura,6,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,2866,1382,102,2,HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-22 10:54
HEROIC VERSE,ガヴリールドロップキック,IIDX EDITION,Remixed by かめりあ,7,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2574,1233,108,0,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2019-10-20 12:04
